Significant Market-Moving Dates
==============================

1932-01-01 | NEGATIVE | 0.95
1945-01-01 | NEGATIVE | 0.90
1949-10-01 | NEGATIVE | 0.80
1954-07-01 | POSITIVE | 0.85
1957-01-01 | NEGATIVE | 0.80
1958-06-01 | NEGATIVE | 0.80
1958-07-01 | POSITIVE | 0.80
1967-02-01 | NEGATIVE | 0.90
1969-07-01 | NEGATIVE | 0.85
1970-10-01 | MIXED | 0.80
1974-01-01 | NEGATIVE | 0.90
1974-04-01 | NEGATIVE | 0.90
1974-07-01 | NEGATIVE | 0.90
1975-01-01 | NEGATIVE | 0.90
1975-02-01 | NEGATIVE | 0.80
1979-01-01 | NEGATIVE | 0.90
1979-08-01 | NEGATIVE | 0.90
1980-01-01 | NEGATIVE | 0.90
1980-04-01 | NEGATIVE | 0.95
1981-01-01 | NEGATIVE | 0.90
1981-07-01 | NEGATIVE | 0.90
1981-10-01 | NEGATIVE | 0.80
1982-02-01 | NEGATIVE | 0.90
1982-07-01 | NEGATIVE | 0.90
1983-06-01 | NEGATIVE | 0.90
1984-07-01 | NEGATIVE | 0.90
1985-04-01 | NEGATIVE | 0.80
1990-01-01 | NEGATIVE | 0.70
1990-10-01 | NEGATIVE | 0.70
1993-01-01 | NEGATIVE | 0.80
1995-04-01 | NEGATIVE | 0.80
1996-01-01 | NEGATIVE | 0.90
1997-07-01 | NEGATIVE | 0.90
2000-07-01 | NEGATIVE | 0.80
2008-01-01 | NEGATIVE | 0.90
2008-03-01 | NEGATIVE | 0.80
2008-04-01 | NEGATIVE | 0.90
2008-07-01 | NEGATIVE | 0.90
2008-10-01 | POSITIVE | 0.85
2008-12-01 | POSITIVE | 0.85
2009-01-01 | NEGATIVE | 0.90
2009-04-01 | NEGATIVE | 0.80
2009-10-01 | NEGATIVE | 0.80
2011-07-01 | MIXED | 0.80
2015-04-01 | MIXED | 0.70
2020-01-01 | NEGATIVE | 0.95
2020-03-01 | NEGATIVE | 0.90
2020-04-01 | NEGATIVE | 0.95
2020-05-01 | NEGATIVE | 0.90
2020-07-01 | POSITIVE | 0.80
2021-01-01 | MIXED | 0.85
2022-01-01 | NEGATIVE | 0.90
2023-03-01 | POSITIVE | 0.85
2023-06-01 | POSITIVE | 0.85
2024-03-01 | POSITIVE | 0.80
2024-04-01 | MIXED | 0.70
2024-12-01 | POSITIVE | 0.80
